Scientific.Name,Orden.taxonómico,Orden,Familia,Nombre.común,English.name,Taxón.IUCN,Categoría.IUCN,Categoría.RCE,Proceso
Rhea pennata,1,Rheiiformes,Rheidae,Ñandú,Lesser Rhea,Rhea pennata / Rhea tarapacensis,LC,Ver ssp.,
Nothoprocta ornata,2,Tinamiformes,Tinamidae,Perdiz cordillerana,Ornate Tinamou,Nothoprocta ornata,LC,,
Nothoprocta perdicaria,3,Tinamiformes,Tinamidae,Perdiz chilena,Chilean Tinamou,Nothoprocta perdicaria,LC,,
Nothoprocta pentlandii,4,Tinamiformes,Tinamidae,Perdiz andina,Andean Tinamou,Nothoprocta pentlandii,LC,,
Eudromia elegans,5,Tinamiformes,Tinamidae,Perdiz copetona,Elegant Crested-Tinamou,Eudromia elegans,LC,EN,RCE 14
Tinamotis pentlandii,6,Tinamiformes,Tinamidae,Perdiz de la puna,Puna Tinamou,Tinamotis pentlandii,LC,LC,RCE 14
Tinamotis ingoufi,7,Tinamiformes,Tinamidae,Perdiz austral,Patagonian Tinamou,Tinamotis ingoufi,LC,VU,RCE 14
Chauna torquata,8,Anseriformes,Anhimidae,Chajá,Southern Screamer,Chauna torquata,LC,,
Dendrocygna bicolor,9,Anseriformes,Anatidae,Pato silbón colorado,Fulvous Whistling-Duck,Dendrocygna bicolor,LC,,
Dendrocygna viduata,10,Anseriformes,Anatidae,Pato silbón pampa,White-faced Whistling-Duck,Dendrocygna viduata,LC,,
Dendrocygna autumnalis,11,Anseriformes,Anatidae,Pato silbón de ala blanca,Black-bellied Whistling-Duck,Dendrocygna autumnalis,LC,,
Cygnus melancoryphus,12,Anseriformes,Anatidae,Cisne de cuello negro,Black-necked Swan,Cygnus melancoryphus,LC,LC,RCE 16
Coscoroba coscoroba,13,Anseriformes,Anatidae,Cisne coscoroba,Coscoroba Swan,Coscoroba coscoroba,LC,LC,RCE 16
Oressochen melanopterus,14,Anseriformes,Anatidae,Piuquén,Andean Goose,Chloephaga melanoptera,LC,"LC (XV-IV), EN (V-XII)",RCE 16
Chloephaga picta,15,Anseriformes,Anatidae,Caiquén,Upland Goose,Chloephaga picta,LC,,
Chloephaga hybrida,16,Anseriformes,Anatidae,Caranca,Kelp Goose,Chloephaga hybrida,LC,VU,RCE 12
Chloephaga poliocephala,17,Anseriformes,Anatidae,Canquén com√∫n,Ashy-headed Goose,Chloephaga poliocephala,LC,,
Chloephaga rubidiceps,18,Anseriformes,Anatidae,Canquén colorado,Ruddy-headed Goose,Chloephaga rubidiceps,LC,EN,RCE 1
Sarkidiornis sylvicola,19,Anseriformes,Anatidae,Pato crestudo,Comb Duck,Sarkidiornis sylvicola,LC,,
Merganetta armata,20,Anseriformes,Anatidae,Pato cortacorrientes,Torrent Duck,Merganetta armata,LC,NT,RCE 11
Tachyeres patachonicus,21,Anseriformes,Anatidae,Quetru volador,Flying Steamer-Duck,Tachyeres patachonicus,LC,LC,RCE 12
Tachyeres pteneres,22,Anseriformes,Anatidae,Quetru no volador,Flightless Steamer-Duck,Tachyeres pteneres,LC,NT,RCE 12
Lophonetta specularioides,23,Anseriformes,Anatidae,Pato juarjual,Crested Duck,Lophonetta specularioides,LC,,
Speculanas specularis,24,Anseriformes,Anatidae,Pato anteojillo,Spectacled Duck,Speculanas specularis,NT,NT,RCE 14
Spatula puna,25,Anseriformes,Anatidae,Pato puna,Puna Teal,Spatula puna,LC,,
Spatula versicolor,26,Anseriformes,Anatidae,Pato capuchino,Silver Teal,Spatula versicolor,LC,,
Spatula platalea,27,Anseriformes,Anatidae,Pato cuchara,Red Shoveler,Spatula platalea,LC,LC,RCE 12
Spatula discors,28,Anseriformes,Anatidae,Pato de alas azules,Blue-winged Teal,Spatula discors,LC,,
Spatula cyanoptera,29,Anseriformes,Anatidae,Pato colorado,Cinnamon Teal,Spatula cyanoptera,LC,,
Mareca sibilatrix,30,Anseriformes,Anatidae,Pato real,Chiloe Wigeon,Mareca sibilatrix,LC,,
Anas bahamensis,31,Anseriformes,Anatidae,Pato gargantillo,White-cheeked Pintail,Anas bahamensis,LC,LC,RCE 12
Anas georgica,32,Anseriformes,Anatidae,Pato jergón grande,Yellow-billed Pintail,Anas georgica,LC,,
Anas flavirostris,33,Anseriformes,Anatidae,Pato jergón chico,Yellow-billed Teal,Anas flavirostris,LC,,
Netta peposaca,34,Anseriformes,Anatidae,Pato negro,Rosy-billed Pochard,Netta peposaca,LC,,
Heteronetta atricapilla,35,Anseriformes,Anatidae,Pato rinconero,Black-headed Duck,Heteronetta atricapilla,LC,LC,RCE 12
Oxyura jamaicensis,36,Anseriformes,Anatidae,Pato rana de pico ancho,Ruddy Duck,Oxyura jamaicensis,LC,,
Oxyura vittata,37,Anseriformes,Anatidae,Pato rana de pico delgado,Lake Duck,Oxyura vittata,LC,,
Callipepla californica,38,Galliformes,Odontophoridae,Codorniz,California Quail,Callipepla californica,LC,,
Phasianus colchicus,39,Galliformes,Phasianidae,Faisán de collar,Ring-necked Pheasant,Phasianus colchicus,LC,,
Phoenicopterus chilensis,40,Phoenicopteriformes,Phoenicopteridae,Flamenco chileno,Chilean Flamingo,Phoenicopterus chilensis,NT,NT,RCE 15
Phoenicoparrus andinus,41,Phoenicopteriformes,Phoenicopteridae,Parina grande,Andean Flamingo,Phoenicoparrus andinus,VU,VU,RCE 11
Phoenicoparrus jamesi,42,Phoenicopteriformes,Phoenicopteridae,Parina chica,James's Flamingo,Phoenicoparrus jamesi,NT,VU,RCE 15
Rollandia rolland,43,Podicipediformes,Podicipedidae,Pimpollo com√∫n,White-tufted Grebe,Rollandia rolland,LC,,
Podilymbus podiceps,44,Podicipediformes,Podicipedidae,Picurio,Pied-billed Grebe,Podilymbus podiceps,LC,,
Podiceps major,45,Podicipediformes,Podicipedidae,Huala,Great Grebe,Podiceps major,LC,,
Podiceps occipitalis,46,Podicipediformes,Podicipedidae,Blanquillo,Silvery Grebe,Podiceps occipitalis,LC,,
Podiceps gallardoi,47,Podicipediformes,Podicipedidae,Pimpollo tobiano,Hooded Grebe,Podiceps gallardoi,CR,,
Columba livia,48,Columbiformes,Columbidae,Paloma doméstica,Rock Pigeon,Columba livia,LC,,
Patagioenas picazuro,49,Columbiformes,Columbidae,Paloma picazuró,Picazuro Pigeon,Patagioenas picazuro,LC,,
Patagioenas maculosa,50,Columbiformes,Columbidae,Paloma manchada,Spot-winged Pigeon,Patagioenas maculosa,LC,,
Patagioenas araucana,51,Columbiformes,Columbidae,Torcaza,Chilean Pigeon,Patagioenas araucana,LC,LC,RCE 12
Zenaida meloda,52,Columbiformes,Columbidae,Paloma de alas blancas,West Peruvian Dove,Zenaida meloda,LC,,
Zenaida auriculata,53,Columbiformes,Columbidae,T√≥rtola,Eared Dove,Zenaida auriculata,LC,,
Metriopelia ceciliae,54,Columbiformes,Columbidae,Tortolita boliviana,Bare-faced Ground Dove,Metriopelia ceciliae,LC,,
Metriopelia melanoptera,55,Columbiformes,Columbidae,Tortolita cordillerana,Black-winged Ground Dove,Metriopelia melanoptera,LC,,
Metriopelia aymara,56,Columbiformes,Columbidae,Tortolita de la puna,Golden-spotted Ground Dove,Metriopelia aymara,LC,,
Columbina talpacoti,57,Columbiformes,Columbidae,Tortolita rojiza,Ruddy Ground Dove,Columbina talpacoti,LC,,
Columbina picui,58,Columbiformes,Columbidae,Tortolita cuyana,Picui Ground Dove,Columbina picui,LC,,
Columbina cruziana,59,Columbiformes,Columbidae,Tortolita quiguagua,Croaking Ground Dove,Columbina cruziana,LC,,
