Project,Protocol,Sampling Unit Name,Visit,Date,Start Time,End Time,Count,Spp,Common Name,Scientific Name,Detection Cue,Breeding Evidence,Visit Note,Observation Note,Researcher,Other Observers Count,Other Observers Names,Data Status
CHSS,WATERBIRD_COUNT,ANDALIEN5,,2018-02-03,11:18:00,11:22:00,3,AMOY,American Oystercatcher,Haematopus palliatus,,,,,"Norambuena, Heraldo",1,"Cisterna, Andrea",AVAILABLE Level 5
CHSS,WATERBIRD_COUNT,ANDALIEN5,,2018-02-03,11:18:00,11:22:00,12,KEGU,Kelp Gull,Larus dominicanus,,,,,"Norambuena, Heraldo",1,"Cisterna, Andrea",AVAILABLE Level 5
CHSS,WATERBIRD_COUNT,ANDALIEN5,,2019-02-06,17:57:00,17:59:00,3,AMOY,American Oystercatcher,Haematopus palliatus,,,,,"Montecino, Sharon",1,Heraldo Norambuena,AVAILABLE Level 5
CHSS,WATERBIRD_COUNT,ANDALIEN5,,2019-02-06,17:57:00,17:59:00,2,WHIM,Whimbrel,Numenius phaeopus,,,,,"Montecino, Sharon",1,Heraldo Norambuena,AVAILABLE Level 5
CHSS,WATERBIRD_COUNT,ANDALIEN5,,2019-02-06,17:57:00,17:59:00,3,KEGU,Kelp Gull,Larus dominicanus,,,,,"Montecino, Sharon",1,Heraldo Norambuena,AVAILABLE Level 5
CHSS,WATERBIRD_COUNT,ANDALIEN5,,2017-01-25,13:10:00,13:13:00,2,AMOY,American Oystercatcher,Haematopus palliatus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,WATERBIRD_COUNT,ANDALIEN5,0,2020-01-22,11:16:00,11:20:00,6,AMOY,American Oystercatcher,Haematopus palliatus,,,,,"Norambuena, Heraldo",2,"Andrea Cisterna, Andrأ©s San Martأ­n",AVAILABLE Level 5
CHSS,WATERBIRD_COUNT,ANDALIEN5,0,2020-01-22,11:16:00,11:20:00,18,KEGU,Kelp Gull,Larus dominicanus,,,,,"Norambuena, Heraldo",2,"Andrea Cisterna, Andrأ©s San Martأ­n",AVAILABLE Level 5
CHSS,WATERBIRD_COUNT,ANDALIEN5,0,2020-01-22,11:16:00,11:20:00,61,NECO,Neotropic Cormorant,Nannopterum brasilianum,,,,,"Norambuena, Heraldo",2,"Andrea Cisterna, Andrأ©s San Martأ­n",AVAILABLE Level 5
CHSS,WATERBIRD_COUNT,ANDALIEN5,0,2020-01-22,11:16:00,11:20:00,2,REKN,Red Knot,Calidris canutus,,,,,"Norambuena, Heraldo",2,"Andrea Cisterna, Andrأ©s San Martأ­n",AVAILABLE Level 5
CHSS,WATERBIRD_COUNT,ANDALIEN5,0,2020-01-22,11:16:00,11:20:00,2,SOLA,Southern Lapwing,Vanellus chilensis,,,,,"Norambuena, Heraldo",2,"Andrea Cisterna, Andrأ©s San Martأ­n",AVAILABLE Level 5
