Sampling.Unit.Name,Latitude,Longitude,SiteName,Ha,Sitio
ANDALIEN1,-36.744351,-73.018256,Rocuant,10.42,4
ANDALIEN10,-36.737592,-73.038126,Rocuant,1.04,4
ANDALIEN11,-36.737224,-73.040624,Rocuant,0.82,4
ANDALIEN12,-36.736937,-73.043173,Rocuant,0.60,4
ANDALIEN2,-36.741504,-73.015632,Rocuant,2.26,4
ANDALIEN3,-36.739144,-73.018669,Rocuant,3.43,4
ANDALIEN4,-36.738948,-73.022985,Rocuant,1.86,4
ANDALIEN5,-36.738802,-73.026126,Rocuant,1.35,4
ANDALIEN6,-36.738644,-73.028761,Rocuant,1.19,4
ANDALIEN7,-36.738445,-73.031149,Rocuant,0.99,4
ANDALIEN8,-36.738216,-73.033337,Rocuant,0.93,4
ANDALIEN9,-36.737937,-73.035612,Rocuant,1.15,4
CF,-41.794566,-73.207032,Calbuco,1.74,5
CH0,-41.490647,-72.866514,Chamiza,6.24,2
CHA,-41.497786,-72.858587,Chamiza,69.47,2
CHA1,-41.491357,-72.863779,Chamiza,7.64,2
CHA2,-41.492977,-72.862376,Chamiza,6.63,2
CHA3,-41.494544,-72.861148,Chamiza,6.78,2
CHA4,-41.496096,-72.859867,Chamiza,6.80,2
CHA5,-41.497688,-72.858549,Chamiza,7.11,2
CHA6,-41.499423,-72.857202,Chamiza,7.64,2
CHA7,-41.501175,-72.855748,Chamiza,8.08,2
CHA8,-41.503290,-72.854268,Chamiza,9.01,2
CHA9,-41.504450,-72.851696,Chamiza,9.48,2
CHARCA1,-31.587044,-71.552364,Huentelauquén,2.20,3
CHARCA2,-31.576637,-71.557410,Huentelauquén,3.47,3
COQ14,-29.900063,-71.273762,Coquimbo,6.12,1
COQ15,-29.897706,-71.271445,Coquimbo,10.73,1
COQ17,-29.893200,-71.271560,Coquimbo,3.44,1
COQ18,-29.894617,-71.273527,Coquimbo,1.97,1
COQ19,-29.888790,-71.273383,Coquimbo,10.04,1
COQ20,-29.891349,-71.272141,Coquimbo,5.59,1
COQ21,-29.879741,-71.273860,Coquimbo,11.37,1
COQ22,-29.870696,-71.274807,Coquimbo,10.84,1
COQ25,-29.861552,-71.276106,Coquimbo,11.43,1
COQ26,-29.852536,-71.277323,Coquimbo,14.31,1
COQ27,-29.843966,-71.279002,Coquimbo,16.71,1
COQ28,-29.835110,-71.280964,Coquimbo,21.45,1
COQ29,-29.826664,-71.286013,Coquimbo,13.99,1
COQ32,-29.821912,-71.288635,Coquimbo,1.99,1
